Grillo-Werke AG;Weseler Str. 1;47169;Duisburg;0203-5557-0;0203-5557-440;Herr;;Ulrich;Grillo;info@grillo.de;http://www.grillo.de;Deutschland;Bauindustrie & Stahl;C 1000-5000;539;Nordrhein-Westfalen
Hitachi Power Europe GmbH;Schifferstr. 80;47059;Duisburg;0203-8038-0;0203-8038-1809;Herr;;Klaus Dieter;Rennert;infobox@hitachi-power.com;http://www.hitachi-power.com/;Deutschland;Maschinenbau;C 1000-5000;29;Nordrhein-Westfalen
Sachtleben Chemie GmbH;Dr.-Rudolf-Sachtleben-Str. 4;47198;Duisburg;02066-22-0;02066-22-2000;Herr;Dr.;Jörg;Eraßme;info@sachtleben.de;http://www.sachtleben.de;Deutschland;Chemieindustrie;C 1000-5000;550;Nordrhein-Westfalen
Akzo Nobel GmbH;Kreuzauer Str. 46;52355;Düren;02421-595-616;;Herr;;Dietmar;Stolle;info.deutsch@akzonobel.com;http://www.akzonobel.com/de/;Deutschland;Chemieindustrie;C 1000-5000;0;Nordrhein-Westfalen
Heimbach GmbH & Co. KG;An Gut Nazareth 73;52353;Düren;02421-802-0;02421-802-700;Herr;;Peter;Michels;heimbach-paper@heimbach.com;http://www.heimbach.com;Deutschland;Chemieindustrie;C 1000-5000;177;Nordrhein-Westfalen
AHG Allgemeine Hospitalgesellschaft;Benrather Schloßallee 31;40215;Düsseldorf;0211-3011-01;0211-3011-2121;Herr;;Norbert;Glahn;info@ahg.de;http://www.ahg.de;Deutschland;Kommunales;C 1000-5000;158;Nordrhein-Westfalen
Alloheim Senioren-Residenzen GmbH;Am Seestern 1;40547;Düsseldorf;0211-47870-0;0211-47870-50;Herr;;Rainer;Hohmann;info@alloheim.de;http://www.alloheim.de/;Deutschland;Kommunales;C 1000-5000;52;Nordrhein-Westfalen
Anson's Herrenhaus KG;Berliner Allee 2;40212;Düsseldorf;0211-1798-0;0211-1798-697;Herr;Dr.;Horst;Clemens;kontakt@ansons.de;http://www.ansons.de/;Deutschland;Mode & Lifestyle;C 1000-5000;0;Nordrhein-Westfalen
BBDO Group Germany GmbH;Königsallee 92;40212;Düsseldorf;0211-1379-0;0211-1379-8362;Herr;;Frank;Lotze;info@bbdo.de;http://www.bbdo.de/;Deutschland;Medien & Agenturen;C 1000-5000;433;Nordrhein-Westfalen
CEMEX Deutschland AG;Theodortstr. 178;40472;Düsseldorf;0211-4470-0;0211-4470-1601;Herr;;Eric;Wittmann;kundenservice.de@cemex.com;http://www.cemex.de;Deutschland;Bauindustrie & Stahl;C 1000-5000;318;Nordrhein-Westfalen
Ericsson GmbH;Prinzenallee 21;40549;Düsseldorf;0211-534-0;0211-534-1000;Herr;;Stefan;Koetz;;http://www.ericsson.com/;Deutschland;Konsumgüterhersteller;C 1000-5000;681;Nordrhein-Westfalen
Gigaset Communications GmbH;Hansaallee 299;40549;Düsseldorf;089-722-0;;Herr;;Charles;Fränkl;;http://gigaset.com;Deutschland;Konsumgüterhersteller;C 1000-5000;361;Bayern
Grohe AG;Feldmühleplatz 15;40545;Düsseldorf;0211-9130-3000;0211-9130-3031;Herr;;Thomas;Fuhr;presse@grohe.de;http://www.grohe.com;Deutschland;Bauindustrie & Stahl;C 1000-5000;933;Nordrhein-Westfalen
Lieken AG;Fritz-Vomfelde-Str. 14-20;40547;Düsseldorf;0211-530634-0;0211-530634-34;Herr;;Markus;Biermann;pressestelle@lieken.de;http://www.lieken.de/;Deutschland;Lebensmittelindustrie;C 1000-5000;780;Nordrhein-Westfalen
M.A.X. Automation AG;Breite Str. 29-31;40213;Düsseldorf;0211-90991-0;0211-90991-11;Herr;;Fabian;Spilker;info@maxautomation.de;http://www.maxautomation.de/;Deutschland;Maschinenbau;C 1000-5000;260;Nordrhein-Westfalen
MEDIMAX Zentrale Electronic SE;Mündelheimer Weg 40;40472;Düsseldorf;0211-4156-0;0211-4156-150;Herr;;Friedrich;Sobol;info@medimax.de;http://www.medimax.de;Deutschland;Technik & Auto;C 1000-5000;0;Nordrhein-Westfalen
METRO Cash & Carry Deutschland GmbH;Metro-Str. 8;40235;Düsseldorf;0800-7242737;0511-679986-19;Herr;;Alain;Cappannelli;info@ccschaper.de;http://www.ccschaper.de/;Deutschland;Lebensmittelhandel;C 1000-5000;67;Nordrhein-Westfalen
O-I Glasspack GmbH & Co. KG;Goethestr. 75;40237;Düsseldorf;0211-2809-0;0211-2809-246;Herr;;Joachim;Herzig;;http://www.o-i.com/;Deutschland;Chemieindustrie;C 1000-5000;110;Nordrhein-Westfalen
Ranger Marketing & Vertriebs GmbH;Parsevalstr. 11;40468;Düsseldorf;0211-20008100;0211-20008101;Herr;;Frank;Rittmann;info@ranger.de;http://www.ranger.de;Deutschland;Medien & Agenturen;C 1000-5000;0;Nordrhein-Westfalen
SMS Siemag AG;Eduard-Schloemann-Str. 4;40237;Düsseldorf;0211-881-0;0211-881-4902;Herr;;Burkhard;Dahmen;communications@sms-demag.com;http://www.sms-demag.com/;Deutschland;Maschinenbau;C 1000-5000;0;Nordrhein-Westfalen
Terex Germany GmbH & Co KG;Forststr. 16;40597;Düsseldorf;0211-598844-10;0211-598844-50;Herr;;Lutz;Henschen;info@terex.com;http://www.terex.de/;Deutschland;Maschinenbau;C 1000-5000;486;Nordrhein-Westfalen
MAG IAS GmbH;Salacher Str. 93;73054;Eislingen;07161-805-0;07161-805-223;Herr;;Rainer;Schmückle;contact-eu@mag-ias.com;http://www.mag-ias.com;Deutschland;Maschinenbau;C 1000-5000;326;Baden-Württemberg
Peter Kölln;Westerstr. 22-24;25336;Elmshorn;04121-648-0;04121-6639;Herr;Prof. Dr.;Hans Heinrich;Driftmann;kontakt@koelln.de;http://www.koelln.de;Deutschland;Lebensmittelindustrie;E 200-499;84;Schleswig-Holstein
SPAX International GmbH & Co. KG;Kölner Str. 71-77;58256;Ennepetal;02333-799-0;02333-799-199;Herr;;Michael A.;Thomas;info@spax.com;http://www.abc-verbindungstechnik.de/;Deutschland;Bauindustrie & Stahl;C 1000-5000;190;Nordrhein-Westfalen
Rottendorf Pharma GmbH;Ostenfelder Str. 51- 61;59320;Ennigerloh;02524-268-0;02524-268-100;Herr;Dr.;Stephan;Fleck;info@rottendorf.de;http://www.rottendorf.de/;Deutschland;Chemieindustrie;D 500-999;74;Nordrhein-Westfalen
X-FAB Semiconductor Foundries AG;Haarbergstr. 67;99097;Erfurt;0361-427-6000;0361-427-6111;Herr;Dr.;Jens;Kosch;info@xfab.com;http://www.xfab.com;Deutschland;Elektrotechnik & Medizintechnik;C 1000-5000;66;Thüringen
GRUNDFOS GMBH;Schlüterstr. 33;40699;Erkrath;0211-92969-0;;Herr;;Ralf;Brechmann;infoservice@grundfos.de;http://de.grundfos.com/about-us/grundfos-in-deutschland/grundfos-hilge.html;Deutschland;Maschinenbau;C 1000-5000;226;Nordrhein-Westfalen
Gauselmann AG;Merkur-Allee 1-15;32339;Espelkamp;05772-49-0;05772-49-165;Herr;;Paul;Gauselmann;info@gauselmann.de;http://www.gauselmann.de;Deutschland;Konsumgüterhersteller;C 1000-5000;711;Nordrhein-Westfalen
HARTING KGaA;Marienwerderstr. 3;32339;Espelkamp;05772-47-0;05772-47-400;Herr;;Dietmar;Harting;info@harting.com;http://www.harting.com;Deutschland;Elektrotechnik & Medizintechnik;E 200-499;36;Nordrhein-Westfalen
Alfried Krupp von Bohlen und;Alfried-Krupp-Str. 21;45131;Essen;0201-434-1;0201-434-2399;Herr;Dr.;Günther;Flämig;info@krupp-krankenhaus.de;http://www.krupp-krankenhaus.de/;Deutschland;Kommunales;C 1000-5000;102;Nordrhein-Westfalen
Atlas Copco Holding GmbH;Langemarckstr. 35;45141;Essen;0201-2177-0;0201-290874;Herr;;Piet;Leys;info.acholding@de.atlascopco.com;http://www.atlascopco.de;Deutschland;Maschinenbau;C 1000-5000;678;Nordrhein-Westfalen
BackWerk Management GmbH;Limbecker Str. 25-37;45127;Essen;0201-20189-0;0201-20189-200;Herr;Dr.;Dirk;Schneider;info@back-werk.com;http://www.back-werk.de;Deutschland;Lebensmittelhandel;C 1000-5000;163;Nordrhein-Westfalen
i f m electronic gmbh;Friedrichstr. 1;45128;Essen;0201-2422-0;0201-2422-1200;Herr;;Michael;Marhofer;info@ifm.com;http://www.ifm-electronic.com;Deutschland;Elektrotechnik & Medizintechnik;C 1000-5000;580;Nordrhein-Westfalen
Mr. Wash Autoservice AG;Westendstr. 8;45143;Essen;0201-220880-0;0201-220880-40;Herr;;Richard;Enning;info@mrwash.de;http://www.mr-wash.de/;Deutschland;Transport & Logistik;D 500-999;245;Nordrhein-Westfalen
Metsä Tissue GmbH;Adolf-Halstrick-Str. 6-12;53879;Euskirchen;02251-812-0;02251-812-144;Herr;;Michael;Päckner;;http://www.metsatissue.com;Deutschland;Konsumgüterhersteller;C 1000-5000;437;Nordrhein-Westfalen
Piasten GmbH & Co. KG;Piastenstr. 1;91301;Forchheim;09191-611-0;09191-611-144;Herr;;Rolf;Schröppel;office@piasten.de;http://www.piasten.com;Deutschland;Lebensmittelindustrie;E 200-499;75;Bayern
Texas Instruments Deutschland GmbH;Haggertystr. 1;85356;Freising;08161-802121;08161-802045;Herr;Dr.;Wolfram;Tietscher;;http://www.ti.de;Deutschland;Elektrotechnik & Medizintechnik;C 1000-5000;236;Bayern
Rosenberger Hochfrequenztechnik;Hauptstr. 1;83413;Fridolfing;08684-18-0;08684-18-499;Herr;;Peter;Rosenberger;info@rosenberger.de;http://www.rosenberger.de/;Deutschland;Elektrotechnik & Medizintechnik;C 1000-5000;0;Bayern
Hans Segmüller Polstermöbelfabrik;Münchner Str. 35;86316;Friedberg;0821-6006-0;0821-6006-1299;Herr;;Johannes;Segmüller;friedberg@segmueller.de;http://www.segmueller.de;Deutschland;DIY & Einrichten;C 1000-5000;684;Bayern
Landbäckerei Ihle GmbH;Dr.-Balthasar-Hubmaier-Str. 6;86316;Friedberg;0821-66007-0;;Herr;;Wilhelm-Peter;Ihle;info@ihle.de;http://www.ihle.de/;Deutschland;Lebensmittelhandel;C 1000-5000;79;Bayern
axicorp GmbH;Max-Planck-Str. 36b;61381;Friedrichsdorf;06172-4999-0;06172-4999-129;Herr;;Dirk;Ullrich;service@axicorp.de;http://www.axicorp.de/;Deutschland;Chemieindustrie;E 200-499;200;Hessen
Bose GmbH;Max-Planck-Str. 36;61381;Friedrichsdorf;06172-7104-0;06172-7104-19;Herr;;Anton;Schalkamp;info_de@bose.com;http://www.bose.de;Deutschland;Konsumgüterhersteller;E 200-499;129;Hessen
Milupa GmbH;Bahnstr. 14-30;61381;Friedrichsdorf;06172-99-0;06172-99-1595;Frau;;Christine;Siemssen;pr@milupa.de;http://www.milupa-gmbh.de/;Deutschland;Lebensmittelindustrie;E 200-499;213;Hessen
Kennametal Holding GmbH;Wehlauer Str. 73;90766;Fürth;0911-9735-0;0911-9735-388;Herr;Dr.;Joachim;Fabry;ebusiness.service@kennametal.com;http://www.kennametal.com/;Deutschland;Maschinenbau;C 1000-5000;636;Bayern
